id,seed,team,score
1,1,UConn,91
2,16,Stetson,52
3,8,FAU,65
4,9,Northwestern,77
5,5,San Diego St.,69
6,12,UAB,85
7,4,Auburn,76
8,13,Yale,78
9,6,BYU,67
10,11,Duquesne,71
11,3,Illinois,85
12,14,Morehead St.,69
13,7,Washington St.,86
14,10,Drake,61
15,2,Iowa St.,82
16,15,S. Dakota St.,65
17,1,North Carolina,90
18,16,Wagner,62
19,8,Mississippi St.,51
20,9,Michigan St.,69
21,5,Saint Mary's,66
22,12,Grand Canyon,75
23,4,Alabama,109
24,13,Charleston,96
25,6,Clemson,77
26,11,New Mexico,56
27,3,Baylor,92
28,14,Colgate,67
29,7,Dayton,63
30,10,Nevada,60
31,2,Arizona,85
32,15,Long Beach St.,65
33,1,Houston,86
34,16,Longwood,46
35,8,Nebraska,83
36,9,Texas A&M,98
37,5,Wisconsin,61
38,12,James Madison,72
39,4,Duke,64
40,13,Vermont,47
41,6,Texas Tech,67
42,11,NC State,80
43,3,Kentucky,76
44,14,Oakland,80
45,7,Florida,100
46,10,Colorado,102
47,2,Marquette,87
48,15,Western Ky.,69
49,1,Purdue,78
50,16,Grambling St.,50
51,8,Utah St.,88
52,9,TCU,72
53,5,Gonzaga,86
54,12,McNeese,65
55,4,Kansas,93
56,13,Samford,89
57,6,S. Carolina,73
58,11,Oregon,87
59,3,Creighton,77
60,14,Akron,60
61,7,Texas,56
62,10,Colorado St.,44
63,2,Tennessee,83
64,15,Saint Peter's,49
65,1,UConn,75
66,9,Northwestern,58
67,5,San Diego St.,52
68,13,Yale,57
69,11,Duquesne,63
70,3,Illinois,89
71,7,Washington St.,56
72,2,Iowa St.,67
73,1,North Carolina,85
74,9,Michigan St.,69
75,12,Grand Canyon,61
76,4,Alabama,72
77,6,Clemson,72
78,3,Baylor,64
79,7,Dayton,68
80,2,Arizona,78
81,1,Houston,100
82,9,Texas A&M,95
83,12,James Madison,55
84,4,Duke,93
85,11,NC State,79
86,14,Oakland,73
87,10,Colorado,77
88,2,Marquette,81
89,1,Purdue,80
90,8,Utah St.,67
91,5,Gonzaga,89
92,4,Kansas,68
93,11,Oregon,73
94,3,Creighton,86
95,7,Texas,58
96,2,Tennessee,62
97,1,UConn,82
98,5,San Diego St.,52
99,3,Illinois,72
100,2,Iowa St.,67
101,1,North Carolina,87
102,4,Alabama,89
103,6,Clemson,77
104,2,Arizona,72
105,1,Houston,51
106,4,Duke,54
107,11,NC State,67
108,2,Marquette,58
109,1,Purdue,80
110,5,Gonzaga,68
111,3,Creighton,75
112,2,Tennessee,82
113,1,UConn,77
114,3,Illinois,52
115,4,Alabama,89
116,6,Clemson,82
117,4,Duke,64
118,11,NC State,76
119,1,Purdue,72
120,2,Tennessee,66
121,1,UConn,86
122,4,Alabama,72
123,11,NC State,50
124,1,Purdue,63
125,1,UConn,75
126,1,Purdue,60
